geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
TNFSF4	65.6572805524147	65.280407204883	58.8889969623783	53.7183890417275	64.9645160806227	45.1185158522796	49.2099635090184	44.355934183399	55.8992504233404
CACNA1E	49.1587015784215	67.1557308136308	39.8813170451771	50.879188995449	49.4523316239316	62.0548119280719	51.0989596692196	57.2265965767566	53.3634547788323
DHX9	55.0337643955218	68.5754494881152	44.9628095491286	54.797214321216	53.9664780649103	62.1421280847251	51.6500842578908	58.4725914143708	56.2000649469848
B3GALT2	48.0565502916438	54.8864300795978	45.6162856304985	36.3348869894622	50.6393686635945	43.6842718894009	30.3456487931423	34.4220831104379	42.9981906809722
TNNT2	72.081938290832	71.915775905498	70.5352608006029	69.174024304818	79.2257077992183	67.1294228560913	72.3853482300156	67.2482252614053	71.2119629310602
TNNI1	72.1950991556831	71.9490526312397	70.4760319003577	69.1467292385034	79.291310067352	66.9387474106538	72.3121732461087	67.2080665495795	71.1896512749347
LMOD1	72.7951754325321	71.5046027207306	71.5821117250007	69.0243860692405	80.1185587337442	68.9476211978287	74.1412175090396	68.0888791023136	72.0253190613037
KDM5B	72.0530365362448	73.7923543172803	70.8008856392129	63.6789317357199	76.7975793171326	67.9649564973488	66.9668670790748	66.557499465032	69.8265138233808
C1orf186	66.0435996596951	67.0243737842802	64.6313369807611	67.733436818343	70.8912678834069	62.7322102848764	62.1732561780155	60.2727902027005	65.1877839740098
FAIM3	56.3162764916901	69.8276063945623	68.6108268494663	56.2140480144258	47.3073096310388	66.983043743816	46.1724979840733	57.9337477154424	58.6706696030644
LAMB3	59.5482262230727	50.3821544859366	36.8227209508801	28.3792257417231	41.1276513428824	36.5774005885664	30.6970429549324	63.5315189482348	43.3832426545286
TRAF3IP3	59.3721141559528	50.3225555703807	37.1863457393151	28.0519445810982	41.0208159912098	36.4780134041231	30.3914762241834	63.5272924959551	43.2938197702773
NEK2	61.6785480030386	72.1860958395771	63.2497801250833	68.7679127518315	61.3924608818265	66.9622646322427	63.9525627435065	63.9879677832584	65.2721990950456
VASH2	48.7181120707863	68.3719280847724	50.7817950178393	71.6245017358832	51.3074743090243	62.828229227915	52.3454905066363	60.0294448061462	58.2508719698754
ENAH	65.2788758441558	73.5926860939061	67.1104547752248	71.4854252247753	66.8179737362638	69.1563436763237	70.2749667432568	66.2505096603396	68.7459044692807
C1orf198	42.3746694254681	53.0649439832508	54.393271637724	66.8861824626438	43.9402827389632	56.6354451267881	58.9452028320615	56.9955475243905	54.1544432164113
ACTN2	41.2106400310216	57.6880744150586	38.791118350071	58.8252687996214	39.4419020340186	49.5483033045901	41.2045650086756	53.2427085230559	47.4940725582641
SMYD3	59.1557514848055	58.9272645910541	47.6791593446876	59.7992046840256	54.739310936644	60.1092841867809	51.1782498654571	59.9346404176468	56.4403581888877
CNST	59.9707111763237	58.9281899787713	47.208956968032	64.7482884865135	54.3684937749751	62.7571682005494	56.3746879745255	60.5591453046953	58.1144552330482
ZNF124	41.5723008588592	50.1318284382799	38.0578383398497	57.7076445294055	40.96110919401	51.6998408995825	45.0015989785009	52.3054590884327	47.1797025408651
PFKP	58.6220841888724	51.1358391922364	55.303781702787	46.7139273538706	64.8416656596465	54.4454852482212	41.6466443201696	40.676441522559	51.6732336485454
